,Contig,count,Depth avg,std,min,25%,Depth median,75%,max,count_nonzero,count_unique,count_unique_nonzero,sample,dataset,quantification,Breadth,ncbi,region,id,distribution,genome_size,weighted_dist,readshare,expected_average_coverage,err_type,err_profile,fragment_size,readsGB
724,NC_014328.1.region001,18132.0,1.0109199205823958,1.155874270307329,0.0,0.0,1.0,2.0,39.0,11256.0,18086.0,11210.0,sample_3,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1704865005,4630065,789363.5789375325,24878216.876134727,5.373189550499772,wgsim,0.03,540,0.1
727,NC_014328.1.region001,,2.359285140065549,,,,2.0,,,,,,sample_3,0_1GB,mapping(filtered),0.8908660202732481,NC_014328_1,region001,Genome1,0.1704865005,4630065,789363.5789375325,24878216.876134727,5.373189550499772,wgsim,0.03,540,0.1
732,NC_014328.1.region001,,2.359285140065549,,,,2.0,,,,,,sample_3,0_1GB,mapping(unfiltered),0.8908660202732481,NC_014328_1,region001,Genome1,0.1704865005,4630065,789363.5789375325,24878216.876134727,5.373189550499772,wgsim,0.03,540,0.1
772,NC_014328.1.region001,18132.0,1.2030112508272668,1.2289979763634955,0.0,0.0,1.0,2.0,43.0,13071.0,18086.0,13028.0,sample_0,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.2012042617201204,4630065,931588.8100411692,25324475.92922529,5.469572442120206,wgsim,0.03,540,0.1
775,NC_014328.1.region001,,2.6455916473317864,,,,2.0,,,,,,sample_0,0_1GB,mapping(filtered),0.9497576024680476,NC_014328_1,region001,Genome1,0.2012042617201204,4630065,931588.8100411692,25324475.92922529,5.469572442120206,wgsim,0.03,540,0.1
780,NC_014328.1.region001,,2.6455916473317864,,,,2.0,,,,,,sample_0,0_1GB,mapping(unfiltered),0.9497576024680476,NC_014328_1,region001,Genome1,0.2012042617201204,4630065,931588.8100411692,25324475.92922529,5.469572442120206,wgsim,0.03,540,0.1
820,NC_014328.1.region001,18132.0,1.0695455548202073,1.3688164755272805,0.0,0.0,1.0,2.0,50.0,11084.0,18086.0,11042.0,sample_2,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.2033020356,4630065,941301.639460314,30092964.149014767,6.499469046118093,wgsim,0.03,540,0.1
823,NC_014328.1.region001,,2.6903256836608493,,,,2.0,,,,,,sample_2,0_1GB,mapping(filtered),0.8017849272807405,NC_014328_1,region001,Genome1,0.2033020356,4630065,941301.639460314,30092964.149014767,6.499469046118093,wgsim,0.03,540,0.1
828,NC_014328.1.region001,,2.6903256836608493,,,,2.0,,,,,,sample_2,0_1GB,mapping(unfiltered),0.8017849272807405,NC_014328_1,region001,Genome1,0.2033020356,4630065,941301.639460314,30092964.149014767,6.499469046118093,wgsim,0.03,540,0.1
868,NC_014328.1.region001,18132.0,0.8189940436796823,0.9691603993809476,0.0,0.0,1.0,1.0,16.0,10068.0,18086.0,10022.0,sample_4,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1312808802,4630065,607839.008583213,17593573.14441044,3.799854460879154,wgsim,0.03,540,0.1
871,NC_014328.1.region001,,2.0513689526847423,,,,2.0,,,,,,sample_4,0_1GB,mapping(filtered),0.8289995592772146,NC_014328_1,region001,Genome1,0.1312808802,4630065,607839.008583213,17593573.14441044,3.799854460879154,wgsim,0.03,540,0.1
876,NC_014328.1.region001,,2.0513689526847423,,,,2.0,,,,,,sample_4,0_1GB,mapping(unfiltered),0.8289995592772146,NC_014328_1,region001,Genome1,0.1312808802,4630065,607839.008583213,17593573.14441044,3.799854460879154,wgsim,0.03,540,0.1
916,NC_014328.1.region001,18132.0,1.090833884844474,1.1146161826170202,0.0,0.0,1.0,2.0,44.0,12495.0,18086.0,12449.0,sample_1,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1735748457826425,4630065,803662.8183386107,25297525.85667197,5.463751773824336,wgsim,0.03,540,0.1
