,Contig,count,Depth avg,std,min,25%,Depth median,75%,max,count_nonzero,count_unique,count_unique_nonzero,sample,dataset,quantification,Breadth,ncbi,region,id,distribution,genome_size,weighted_dist,readshare,expected_average_coverage,err_type,err_profile,fragment_size,readsGB,error,RE
724,NC_014328.1.region001,18132.0,1.0109199205823958,1.155874270307329,0.0,0.0,1.0,2.0,39.0,11256.0,18086.0,11210.0,sample_3,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1704865005,4630065,789363.5789375325,24878216.876134727,5.373189550499772,wgsim,0.03,540,0.1,-4.373189550499772,-0.8138908016176374
772,NC_014328.1.region001,18132.0,1.2030112508272668,1.2289979763634955,0.0,0.0,1.0,2.0,43.0,13071.0,18086.0,13028.0,sample_0,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.2012042617201204,4630065,931588.8100411692,25324475.92922529,5.469572442120206,wgsim,0.03,540,0.1,-4.469572442120206,-0.8171703527867777
820,NC_014328.1.region001,18132.0,1.0695455548202073,1.3688164755272805,0.0,0.0,1.0,2.0,50.0,11084.0,18086.0,11042.0,sample_2,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.2033020356,4630065,941301.639460314,30092964.149014767,6.499469046118093,wgsim,0.03,540,0.1,-5.499469046118093,-0.846141278171443
868,NC_014328.1.region001,18132.0,0.8189940436796823,0.9691603993809476,0.0,0.0,1.0,1.0,16.0,10068.0,18086.0,10022.0,sample_4,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1312808802,4630065,607839.008583213,17593573.14441044,3.799854460879154,wgsim,0.03,540,0.1,-2.799854460879154,-0.7368320259906389
916,NC_014328.1.region001,18132.0,1.090833884844474,1.1146161826170202,0.0,0.0,1.0,2.0,44.0,12495.0,18086.0,12449.0,sample_1,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1735748457826425,4630065,803662.8183386107,25297525.85667197,5.463751773824336,wgsim,0.03,540,0.1,-4.463751773824336,-0.8169755798953412
484,NC_014328.1.region001,18132.0,1.7031215530553718,1.6267255183278475,0.0,1.0,1.0,2.0,72.0,14958.0,18086.0,14912.0,sample_3,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.1572253573842774,4630065,727963.6243374343,44738952.23312128,9.662705001575848,wgsim,0.03,540,0.2,-8.662705001575848,-0.8965093108154586
532,NC_014328.1.region001,18132.0,2.685528347672623,2.253633503901996,0.0,1.0,2.0,4.0,105.0,16530.0,18086.0,16484.0,sample_0,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.2327978403232798,4630065,1077869.1325564063,58915304.26577688,12.724509108571237,wgsim,0.03,540,0.2,-10.724509108571237,-0.8428230132152761
580,NC_014328.1.region001,18132.0,2.7863445841606,1.989719024049252,0.0,1.0,3.0,4.0,83.0,16912.0,18086.0,16866.0,sample_2,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.2269939397226994,4630065,1050996.6955221803,59988030.79589573,12.956196251218014,wgsim,0.03,540,0.2,-9.956196251218014,-0.768450558957999
628,NC_014328.1.region001,18132.0,1.9586918155746744,1.854298709376185,0.0,1.0,2.0,3.0,84.0,15444.0,18086.0,15398.0,sample_4,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.173510471,4630065,803364.758910615,51891924.54231673,11.207601738272944,wgsim,0.03,540,0.2,-9.207601738272944,-0.8215496904060945
676,NC_014328.1.region001,18132.0,2.151886168100596,1.761145327898426,0.0,1.0,2.0,3.0,70.0,16033.0,18086.0,15987.0,sample_1,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.1777820793822218,4630065,823142.5833748467,48842862.13155899,10.549066186232588,wgsim,0.03,540,0.2,-8.549066186232588,-0.8104097590542975
964,NC_014328.1.region001,18132.0,3.719887491727333,2.689062620666549,0.0,2.0,3.0,5.0,137.0,17750.0,18086.0,17704.0,sample_3,0_3GB,kmerCount,,NC_014328_1,region001,Genome1,0.2216915562,4630065,1026446.315157153,86826932.68224464,18.752853940980238,wgsim,0.03,540,0.3,-15.752853940980238,-0.8400243499233917
1012,NC_014328.1.region001,18132.0,3.5923229649238912,2.6848355891755693,0.0,2.0,3.0,5.0,111.0,17557.0,18086.0,17511.0,sample_0,0_3GB,kmerCount,,NC_014328_1,region001,Genome1,0.2053239516,4630065,950663.241964854,92381929.1592164,19.95262035397265,wgsim,0.03,540,0.3,-16.95262035397265,-0.8496438088442511
1060,NC_014328.1.region001,18132.0,3.584381204500331,2.6999071224516737,0.0,2.0,3.0,5.0,127.0,17547.0,18086.0,17501.0,sample_2,0_3GB,kmerCount,,NC_014328_1,region001,Genome1,0.207109729579289,4630065,958931.5100845308,84649977.79992223,18.28267590194138,wgsim,0.03,540,0.3,-15.282675901941381,-0.8359102345799698
1108,NC_014328.1.region001,18132.0,2.696448268255019,2.1882510177309022,0.0,1.0,2.0,4.0,104.0,16829.0,18086.0,16783.0,sample_4,0_3GB,kmerCount,,NC_014328_1,region001,Genome1,0.1704689340829531,4630065,789282.2452847883,70265760.70269082,15.17597716288882,wgsim,0.03,540,0.3,-13.17597716288882,-0.8682127695282266
1156,NC_014328.1.region001,18132.0,2.4341495698213103,2.2660987392481045,0.0,1.0,2.0,3.0,89.0,16335.0,18086.0,16289.0,sample_1,0_3GB,kmerCount,,NC_014328_1,region001,Genome1,0.142231747,4630065,658542.233673555,50077771.70459116,10.815781572092652,wgsim,0.03,540,0.3,-8.815781572092652,-0.8150850230592224
4,NC_014328.1.region001,18132.0,4.765442311934701,3.474160835548592,0.0,3.0,4.0,6.0,199.0,17879.0,18086.0,17833.0,sample_3,0_5GB,kmerCount,,NC_014328_1,region001,Genome1,0.1823387094817661,4630065,844240.0769166932,133210441.64775015,28.77074979460335,wgsim,0.03,540,0.5,-24.77074979460335,-0.8609699076820619
52,NC_014328.1.region001,18132.0,6.004356938010148,3.980764625077799,0.0,4.0,6.0,7.0,201.0,18092.0,18086.0,18046.0,sample_0,0_5GB,kmerCount,,NC_014328_1,region001,Genome1,0.2019659852201966,4630065,935115.6393585496,135775034.7994756,29.32464982661704,wgsim,0.03,540,0.5,-23.32464982661704,-0.7953939762119856
100,NC_014328.1.region001,18132.0,5.471431722920803,3.8475886080459705,0.0,4.0,5.0,7.0,206.0,18052.0,18086.0,18006.0,sample_2,0_5GB,kmerCount,,NC_014328_1,region001,Genome1,0.1978514053,4630065,916064.8668803446,134545296.54743913,29.059051341058737,wgsim,0.03,540,0.5,-24.059051341058737,-0.8279365715929173
148,NC_014328.1.region001,18132.0,4.319269799249945,3.121010472036792,0.0,3.0,4.0,6.0,154.0,17920.0,18086.0,17874.0,sample_4,0_5GB,kmerCount,,NC_014328_1,region001,Genome1,0.1533744727153374,4630065,710133.7780127387,109614920.46307212,23.67459646097239,wgsim,0.03,540,0.5,-19.67459646097239,-0.8310425266764734
196,NC_014328.1.region001,18132.0,4.677807191705273,3.141908228340586,0.0,3.0,4.0,6.0,158.0,17916.0,18086.0,17870.0,sample_1,0_5GB,kmerCount,,NC_014328_1,region001,Genome1,0.1634161151163416,4630065,756627.2350361441,106815246.6957066,23.06992379063935,wgsim,0.03,540,0.5,-19.06992379063935,-0.8266140782995128
244,NC_014328.1.region001,18132.0,9.678469005073902,6.019921124915551,1.0,7.0,9.0,11.0,358.0,18132.0,18086.0,18086.0,sample_3,1_0GB,kmerCount,,NC_014328_1,region001,Genome1,0.1680682571168068,4630065,778166.9548875281,230914537.26252812,49.87285000589153,wgsim,0.03,540,1.0,-40.87285000589153,-0.8195410930208155
