,Contig,count,Depth avg,std,min,25%,Depth median,75%,max,count_nonzero,count_unique,count_unique_nonzero,sample,dataset,quantification,Breadth,ncbi,region,id,distribution,genome_size,weighted_dist,readshare,expected_average_coverage,err_type,err_profile,fragment_size,readsGB,error,RE
724,NC_014328.1.region001,18132.0,2.623483344363556,2.0259270437850683,0.0,1.0,2.0,3.0,79.0,16905.0,18086.0,16859.0,sample_3,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1092292775,4630065,505738.6547280375,15730675.732292067,3.3975064566679016,wgsim,0.0,270,0.1,-1.3975064566679016,-0.41133298037599714
772,NC_014328.1.region001,18132.0,6.027906463710567,4.270743737648075,0.0,4.0,6.0,8.0,229.0,18108.0,18086.0,18062.0,sample_0,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.2515490305,4630065,1164688.3619019825,33140702.370593585,7.157718600191052,wgsim,0.0,270,0.1,-1.1577186001910524,-0.16174407864541515
820,NC_014328.1.region001,18132.0,4.400617692477388,3.108271012812015,0.0,3.0,4.0,6.0,157.0,17805.0,18086.0,17759.0,sample_2,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.195598646,4630065,905634.44489199,28079696.11847128,6.064644042464042,wgsim,0.0,270,0.1,-2.0646440424640424,-0.34043944343767046
868,NC_014328.1.region001,18132.0,5.394661372159717,3.603353979846833,0.0,4.0,5.0,7.0,184.0,18119.0,18086.0,18073.0,sample_4,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.2389941083761005,4630065,1106558.2563983898,31375539.322961267,6.776479233652501,wgsim,0.0,270,0.1,-1.776479233652501,-0.2621537191216307
916,NC_014328.1.region001,18132.0,3.0272998014559893,2.6589815576981017,0.0,2.0,3.0,4.0,122.0,16966.0,18086.0,16920.0,sample_1,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1374143275,4630065,636237.2682562874,19346764.32379205,4.178508147032937,wgsim,0.0,270,0.1,-1.1785081470329368,-0.2820404090559853
484,NC_014328.1.region001,18132.0,9.770902272225898,6.115991005892825,1.0,7.0,9.0,12.0,349.0,18132.0,18086.0,18086.0,sample_3,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.2257458502,4630065,1045217.9599062628,62786898.66647008,13.560694864212508,wgsim,0.0,270,0.2,-4.560694864212508,-0.33631719538564775
532,NC_014328.1.region001,18132.0,9.220328700639753,5.622168604358611,2.0,7.0,9.0,11.0,311.0,18132.0,18086.0,18086.0,sample_0,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.2133664535,4630065,987900.5485244776,61422178.1059943,13.26594294162054,wgsim,0.0,270,0.2,-4.2659429416205406,-0.3215710304494512
580,NC_014328.1.region001,18132.0,11.91341275093757,7.5199220929540544,3.0,9.0,11.0,14.0,462.0,18132.0,18086.0,18086.0,sample_2,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.2789422165,4630065,1291520.5936390725,72645328.01671694,15.68991537196928,wgsim,0.0,270,0.2,-4.689915371969279,-0.29891272583585876
628,NC_014328.1.region001,18132.0,8.013236267372601,5.008727826197128,1.0,6.0,8.0,10.0,293.0,18132.0,18086.0,18086.0,sample_4,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.1853860143,4630065,858349.2962999296,51722907.91278469,11.17109757914515,wgsim,0.0,270,0.2,-3.1710975791451492,-0.28386625008675404
676,NC_014328.1.region001,18132.0,8.33548422678138,5.691352910903772,1.0,6.0,8.0,10.0,290.0,18132.0,18086.0,18086.0,sample_1,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.1941781498805821,4630065,899057.4555268374,52712981.06837348,11.384933271643806,wgsim,0.0,270,0.2,-3.3849332716438063,-0.2973169179721573
