,Contig,count,Depth avg,std,min,25%,Depth median,75%,max,count_nonzero,count_unique,count_unique_nonzero,sample,dataset,quantification,Breadth,ncbi,region,id,distribution,genome_size,weighted_dist,readshare,expected_average_coverage,err_type,err_profile,fragment_size,readsGB
724,NC_014328.1.region001,18132.0,2.498841826604897,1.8624738879830691,0.0,1.0,2.0,3.0,66.0,16708.0,18086.0,16662.0,sample_3,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1972397081,4630065,913232.6690840264,25659883.91099922,5.542013753802424,wgsim,0.03,270,0.1
727,NC_014328.1.region001,,5.268113134444014,,,,5.0,,,,,,sample_3,0_1GB,mapping(filtered),0.995317320405465,NC_014328_1,region001,Genome1,0.1972397081,4630065,913232.6690840264,25659883.91099922,5.542013753802424,wgsim,0.03,270,0.1
732,NC_014328.1.region001,,5.268113134444014,,,,5.0,,,,,,sample_3,0_1GB,mapping(unfiltered),0.995317320405465,NC_014328_1,region001,Genome1,0.1972397081,4630065,913232.6690840264,25659883.91099922,5.542013753802424,wgsim,0.03,270,0.1
772,NC_014328.1.region001,18132.0,2.3879880873593646,2.0441260922918736,0.0,1.0,2.0,3.0,87.0,16150.0,18086.0,16104.0,sample_0,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.2126204027787379,4630065,984446.2851917372,28921356.1408916,6.246425512577383,wgsim,0.03,270,0.1
775,NC_014328.1.region001,,5.063309513175525,,,,5.0,,,,,,sample_0,0_1GB,mapping(filtered),0.98677831643896,NC_014328_1,region001,Genome1,0.2126204027787379,4630065,984446.2851917372,28921356.1408916,6.246425512577383,wgsim,0.03,270,0.1
780,NC_014328.1.region001,,5.063309513175525,,,,5.0,,,,,,sample_0,0_1GB,mapping(unfiltered),0.98677831643896,NC_014328_1,region001,Genome1,0.2126204027787379,4630065,984446.2851917372,28921356.1408916,6.246425512577383,wgsim,0.03,270,0.1
820,NC_014328.1.region001,18132.0,2.770902272225899,2.13023036798994,0.0,1.0,3.0,4.0,70.0,16763.0,18086.0,16717.0,sample_2,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.2416189062,4630065,1118711.240934903,35494515.19591665,7.6660943628041185,wgsim,0.03,270,0.1
823,NC_014328.1.region001,,5.815198808801632,,,,5.0,,,,,,sample_2,0_1GB,mapping(filtered),0.998953283384751,NC_014328_1,region001,Genome1,0.2416189062,4630065,1118711.240934903,35494515.19591665,7.6660943628041185,wgsim,0.03,270,0.1
828,NC_014328.1.region001,,5.815198808801632,,,,5.0,,,,,,sample_2,0_1GB,mapping(unfiltered),0.998953283384751,NC_014328_1,region001,Genome1,0.2416189062,4630065,1118711.240934903,35494515.19591665,7.6660943628041185,wgsim,0.03,270,0.1
868,NC_014328.1.region001,18132.0,2.715365100375028,2.32626419767164,0.0,1.0,2.0,4.0,102.0,16694.0,18086.0,16648.0,sample_4,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.2339774735,4630065,1083330.9108407774,31324248.845493257,6.765401532266449,wgsim,0.03,270,0.1
